GovName,GovIDs,NonDisplaced,IDPs,Returnees,Refugees,Migrants,TOTAL 
Ibb,YE11,301,351,179,68,0,899
Abyan,YE12,229,267,201,39,0,735
Amanat Al Asimah,YE13,239,262,226,173,46,946
Al Bayda,YE14,258,290,211,203,154,1115
Taizz,YE15,321,395,294,0,47,1056
Al Jawf,YE16,236,260,255,0,0,751
Hajjah,YE17,478,547,263,0,0,1288
Al Hudaydah,YE18,434,419,225,132,0,1209
Hadramaut,YE19,384,259,236,200,10,1088
Dhamar,YE20,236,280,197,53,10,777
Shabwah,YE21,249,284,261,50,0,844
Sa'ada,YE22,259,269,266,0,203,996
Sana'a,YE23,267,302,169,14,0,751
Aden,YE24,216,227,242,237,102,1023
Lahj,YE25,243,306,233,188,21,992
Marib,YE26,240,391,222,58,162,1074
Al Mahwit,YE27,219,210,152,0,0,581
Al Maharah,YE28,224,197,226,169,0,816
Amran,YE29,279,364,235,8,0,886
Al Dhale'e,YE30,216,214,218,58,0,707
Raymah,YE31,216,212,0,0,0,428
Socotra,YE32,212,162,160,0,0,534
